"C_p_ise","N_discontinuous_edges","centroid:0","centroid:1","centroid:2","dC_f:0","dC_f:1","dC_f:2","distribution_order","inclination","normals:0","normals:1","normals:2","sigma","v:0","v:1","v:2","v_inner:0","v_inner:1","v_inner:2","Cell Type"
-0.021289,0,8745.2,-2251.2,-131.12,1.0801e-05,-14.677,-139.78,1,1,7.6846e-08,-0.10443,-0.99453,-7.6846e-08,1565.5,12.233,-1.2843,1548.9,0,0,3
-0.011118,0,10871,-2314.2,-124.51,1.2827e-05,-7.7866,-74.159,1,1,1.7203e-07,-0.10443,-0.99453,-1.7203e-07,1557.6,5.0792,-0.53304,1548.9,0,0,3
-0.16142,0,11265,-2261.7,-102.21,156.82,-156.82,-1493.6,1,1,0.10386,-0.10386,-0.98915,-0.10386,1677.8,10.817,140.39,1548.9,0,0,3
-0.032222,0,2825,-2281.8,-127.91,4.1711e-05,-28.989,-276.08,1,1,1.5026e-07,-0.10443,-0.99453,-1.5026e-07,1573.2,-56.542,5.9372,1548.9,0,0,3
-0.020457,0,3613.4,-2289.3,-127.13,8.7412e-05,-18.092,-172.31,1,1,5.0452e-07,-0.10443,-0.99453,-5.0452e-07,1564.1,-50.547,5.3082,1548.9,0,0,3
-0.021747,0,3113.1,-2247.5,-131.51,-1.3581e-06,-19.401,-184.77,1,1,-7.3097e-09,-0.10443,-0.99453,7.3097e-09,1565,-52.505,5.513,1548.9,0,0,3
-0.020264,0,9079.8,-2239.2,-132.38,3.9067e-06,-16.58,-157.91,1,1,2.4605e-08,-0.10443,-0.99453,-2.4605e-08,1564.7,16.568,-1.7396,1548.9,0,0,3
-0.025292,0,8409.2,-2238.1,-132.5,-8.225e-06,-12.542,-119.45,1,1,-6.8481e-08,-0.10443,-0.99453,6.8481e-08,1568.7,9.8522,-1.0346,1548.9,0,0,3
-0.025233,0,9028.7,-2187.6,-137.8,-9.6939e-06,-19.505,-185.76,1,1,-5.19e-08,-0.10443,-0.99453,5.19e-08,1568.6,12.561,-1.319,1548.9,0,0,3
-0.078466,0,11008,-2194.4,-134.53,24.364,-59.347,-507.67,1,1,0.047613,-0.11598,-0.99211,-0.047613,1610.2,-5.9154,70.44,1548.9,0,0,3
-0.0095717,0,10798,-2310.8,-124.86,-2.3902e-05,-6.8766,-65.492,1,1,-3.6297e-07,-0.10443,-0.99453,3.6297e-07,1556.4,5.1246,-0.53865,1548.9,0,0,3
-0.021436,0,5935.3,-2204.4,-136.04,0,-24.786,-236.06,1,1,0,-0.10443,-0.99453,-0,1565.7,-5.2285,0.54899,1548.9,0,0,3
-0.019039,0,7357.5,-2195.6,-136.96,0,-18.259,-173.89,1,1,0,-0.10443,-0.99453,-0,1563.8,2.752,-0.28896,1548.9,0,0,3
-0.020971,0,7284.7,-2237.7,-132.54,-1.4592e-05,-20.442,-194.68,1,1,-7.4542e-08,-0.10443,-0.99453,7.4542e-08,1565.3,3.587,-0.37675,1548.9,0,0,3
-0.017254,0,6007.7,-2239.4,-132.37,-3.3966e-06,-14.802,-140.97,1,1,-2.3962e-08,-0.10443,-0.99453,2.3962e-08,1562.4,-4.2433,0.44551,1548.9,0,0,3
-0.016164,0,5864.3,-2250,-131.25,7.6581e-06,-20.292,-193.25,1,1,3.9411e-08,-0.10443,-0.99453,-3.9411e-08,1561.5,-7.8033,0.81941,1548.9,0,0,3
-0.013481,0,7431.6,-2238.5,-132.45,2.652e-06,-13.728,-130.74,1,1,2.0173e-08,-0.10443,-0.99453,-2.0173e-08,1559.4,5.1911,-0.54504,1548.9,0,0,3
-0.019442,0,7644.3,-2191.5,-137.39,0,-16.833,-160.31,1,1,0,-0.10443,-0.99453,-0,1564.1,6.6225,-0.69536,1548.9,0,0,3
-0.016712,0,6967.8,-2279.6,-128.14,5.9177e-06,-11.647,-110.92,1,1,5.3059e-08,-0.10443,-0.99453,-5.3059e-08,1562,2.5169,-0.26419,1548.9,0,0,3
-0.019804,0,7575.4,-2234.4,-132.89,-5.3667e-06,-17.441,-166.1,1,1,-3.2133e-08,-0.10443,-0.99453,3.2133e-08,1564.4,6.801,-0.71415,1548.9,0,0,3
-0.011981,0,5069.2,-2192,-137.34,0,-10.503,-100.03,1,1,0,-0.10443,-0.99453,-0,1558.1,-18.975,1.9924,1548.9,0,0,3
-0.011624,0,5141.1,-2231.3,-133.21,-5.0044e-06,-10.171,-96.868,1,1,-5.138e-08,-0.10443,-0.99453,5.138e-08,1557.9,-18.812,1.9752,1548.9,0,0,3
